State,County,Ishispanic,Ethnicity,Ndeath
Mississippi,Adams,Total,NA,18
Mississippi,Adams,Non-Hispanic,African-American,11
Mississippi,Adams,Non-Hispanic,White,7
Mississippi,Adams,Non-Hispanic,American-Indian-Alaska-Native,0
Mississippi,Adams,Non-Hispanic,Asian,0
Mississippi,Adams,Non-Hispanic,Other,0
Mississippi,Adams,Non-Hispanic,Unknown,0
Mississippi,Adams,Hispanic,African-American,0
Mississippi,Adams,Hispanic,White,0
Mississippi,Adams,Hispanic,American-Indian-Alaska-Native,0
Mississippi,Adams,Hispanic,Asian,0
Mississippi,Adams,Hispanic,Other,0
Mississippi,Adams,Hispanic,Unknown,0
Mississippi,Adams,Unknown,African-American,0
Mississippi,Adams,Unknown,White,0
Mississippi,Adams,Unknown,American-Indian-Alaska-Native,0
Mississippi,Adams,Unknown,Asian,0
Mississippi,Adams,Unknown,Other,0
Mississippi,Adams,Unknown,Unknown,0
Mississippi,Alcorn,Total,NA,1
Mississippi,Alcorn,Non-Hispanic,African-American,0
Mississippi,Alcorn,Non-Hispanic,White,1
Mississippi,Alcorn,Non-Hispanic,American-Indian-Alaska-Native,0
Mississippi,Alcorn,Non-Hispanic,Asian,0
Mississippi,Alcorn,Non-Hispanic,Other,0
Mississippi,Alcorn,Non-Hispanic,Unknown,0
Mississippi,Alcorn,Hispanic,African-American,0
Mississippi,Alcorn,Hispanic,White,0
Mississippi,Alcorn,Hispanic,American-Indian-Alaska-Native,0
Mississippi,Alcorn,Hispanic,Asian,0
Mississippi,Alcorn,Hispanic,Other,0
Mississippi,Alcorn,Hispanic,Unknown,0
Mississippi,Alcorn,Unknown,African-American,0
Mississippi,Alcorn,Unknown,White,0
Mississippi,Alcorn,Unknown,American-Indian-Alaska-Native,0
Mississippi,Alcorn,Unknown,Asian,0
Mississippi,Alcorn,Unknown,Other,0
Mississippi,Alcorn,Unknown,Unknown,0
Mississippi,Amite,Total,NA,2
Mississippi,Amite,Non-Hispanic,African-American,1
Mississippi,Amite,Non-Hispanic,White,1
Mississippi,Amite,Non-Hispanic,American-Indian-Alaska-Native,0
Mississippi,Amite,Non-Hispanic,Asian,0
Mississippi,Amite,Non-Hispanic,Other,0
Mississippi,Amite,Non-Hispanic,Unknown,0
