FIPS,State,County,NDeath
45001,South Carolina,Abbeville,0
22001,Louisiana,Acadia,36
51001,Virginia,Accomack,14
16001,Idaho,Ada,23
19001,Iowa,Adair,0
21001,Kentucky,Adair,19
29001,Missouri,Adair,0
40001,Oklahoma,Adair,4
08001,Colorado,Adams,155
16003,Idaho,Adams,0
17001,Illinois,Adams,1
18001,Indiana,Adams,1
19003,Iowa,Adams,0
28001,Mississippi,Adams,18
31001,Nebraska,Adams,11
39001,Ohio,Adams,1
42001,Pennsylvania,Adams,12
53001,Washington,Adams,0
55001,Wisconsin,Adams,2
50001,Vermont,Addison,2
45003,South Carolina,Aiken,10
27001,Minnesota,Aitkin,0
12001,Florida,Alachua,12
37001,North Carolina,Alamance,37
06001,California,Alameda,135
08003,Colorado,Alamosa,3
36001,New York,Albany,121
56001,Wyoming,Albany,0
51003,Virginia,Albemarle,8
26001,Michigan,Alcona,1
28003,Mississippi,Alcorn,1
17003,Illinois,Alexander,0
37003,North Carolina,Alexander,1
51510,Virginia,Alexandria,57
40003,Oklahoma,Alfalfa,0
26003,Michigan,Alger,0
19005,Iowa,Allamakee,4
26005,Michigan,Allegan,7
24001,Maryland,Allegany,17
36003,New York,Allegany,0
37005,North Carolina,Alleghany,0
51005,Virginia,Alleghany,2
42003,Pennsylvania,Allegheny,183
18003,Indiana,Allen,110
20001,Kansas,Allen,0
21003,Kentucky,Allen,5
22003,Louisiana,Allen,10
39003,Ohio,Allen,38
45005,South Carolina,Allendale,3
26007,Michigan,Alpena,11
06003,California,Alpine,0
06005,California,Amador,0
51007,Virginia,Amelia,1
51009,Virginia,Amherst,0
28005,Mississippi,Amite,2
02020,Alaska,Anchorage,6
20003,Kansas,Anderson,0
21005,Kentucky,Anderson,1
45007,South Carolina,Anderson,11
47001,Tennessee,Anderson,2
48001,Texas,Anderson,2
29003,Missouri,Andrew,0
48003,Texas,Andrews,0
23001,Maine,Androscoggin,4
48005,Texas,Angelina,6
24003,Maryland,Anne Arundel,207
27003,Minnesota,Anoka,107
37007,North Carolina,Anson,2
31003,Nebraska,Antelope,1
26009,Michigan,Antrim,0
04001,Arizona,Apache,86
19007,Iowa,Appanoose,3
13001,Georgia,Appling,14
51011,Virginia,Appomattox,0
48007,Texas,Aransas,0
08005,Colorado,Arapahoe,344
48009,Texas,Archer,0
08007,Colorado,Archuleta,0
26011,Michigan,Arenac,2
05001,Arkansas,Arkansas,0
51013,Virginia,Arlington,132
42005,Pennsylvania,Armstrong,6
48011,Texas,Armstrong,0
23003,Maine,Aroostook,1
31005,Nebraska,Arthur,0
22005,Louisiana,Ascension,58
37009,North Carolina,Ashe,1
39005,Ohio,Ashland,1
55003,Wisconsin,Ashland,0
05003,Arkansas,Ashley,1
39007,Ohio,Ashtabula,43
53003,Washington,Asotin,2
22007,Louisiana,Assumption,14
48013,Texas,Atascosa,2
20005,Kansas,Atchison,0
29005,Missouri,Atchison,0
39009,Ohio,Athens,1
13003,Georgia,Atkinson,2
34001,New Jersey,Atlantic,216
40005,Oklahoma,Atoka,0
28007,Mississippi,Attala,23
29007,Missouri,Audrain,1
19009,Iowa,Audubon,1
39011,Ohio,Auglaize,3
51015,Virginia,Augusta,2
46003,South Dakota,Aurora,0
48015,Texas,Austin,0
01001,Alabama,Autauga,11
37011,North Carolina,Avery,0
22009,Louisiana,Avoyelles,13
08009,Colorado,Baca,0
13005,Georgia,Bacon,4
48017,Texas,Bailey,1
12003,Florida,Baker,4
13007,Georgia,Baker,3
