State,County,Sex,Age_range,NDeath
Ohio,Adams,Male,80+,1
Ohio,Allen,Female,50-59,2
Ohio,Allen,Female,70-79,5
Ohio,Allen,Female,80+,16
Ohio,Allen,Male,40-49,1
Ohio,Allen,Male,50-59,1
Ohio,Allen,Male,60-69,1
Ohio,Allen,Male,70-79,5
Ohio,Allen,Male,80+,10
Ohio,Ashland,Female,80+,1
Ohio,Ashland,Male,80+,1
Ohio,Ashtabula,Female,60-69,2
Ohio,Ashtabula,Female,70-79,7
Ohio,Ashtabula,Female,80+,18
Ohio,Ashtabula,Male,20-29,1
Ohio,Ashtabula,Male,50-59,1
Ohio,Ashtabula,Male,60-69,7
Ohio,Ashtabula,Male,70-79,4
Ohio,Ashtabula,Male,80+,4
Ohio,Athens,Male,60-69,1
Ohio,Auglaize,Female,80+,2
Ohio,Auglaize,Male,60-69,1
Ohio,Auglaize,Male,70-79,1
Ohio,Belmont,Female,50-59,1
Ohio,Belmont,Female,70-79,2
Ohio,Belmont,Female,80+,4
Ohio,Belmont,Male,20-29,1
Ohio,Belmont,Male,40-49,1
Ohio,Belmont,Male,50-59,4
Ohio,Belmont,Male,60-69,4
Ohio,Belmont,Male,70-79,3
Ohio,Belmont,Male,80+,2
Ohio,Brown,Male,60-69,1
Ohio,Butler,Female,50-59,1
Ohio,Butler,Female,60-69,4
Ohio,Butler,Female,70-79,6
Ohio,Butler,Female,80+,12
Ohio,Butler,Male,40-49,1
Ohio,Butler,Male,50-59,4
Ohio,Butler,Male,60-69,4
Ohio,Butler,Male,70-79,5
Ohio,Butler,Male,80+,10
Ohio,Carroll,Female,80+,1
Ohio,Carroll,Male,60-69,1
Ohio,Carroll,Male,80+,1
Ohio,Champaign,Female,50-59,1
Ohio,Clark,Female,80+,3
Ohio,Clark,Male,30-39,1
Ohio,Clark,Male,60-69,1
Ohio,Clark,Male,70-79,2
Ohio,Clark,Male,80+,3
Ohio,Clermont,Female,70-79,2
Ohio,Clermont,Female,80+,1
Ohio,Clermont,Male,30-39,1
Ohio,Clermont,Male,60-69,1
Ohio,Clermont,Male,70-79,1
Ohio,Clermont,Male,80+,1
Ohio,Clinton,Male,80+,1
Ohio,Columbiana,Female,50-59,2
Ohio,Columbiana,Female,60-69,3
Ohio,Columbiana,Female,70-79,7
Ohio,Columbiana,Female,80+,14
Ohio,Columbiana,Male,40-49,1
Ohio,Columbiana,Male,50-59,6
Ohio,Columbiana,Male,60-69,8
Ohio,Columbiana,Male,70-79,8
Ohio,Columbiana,Male,80+,11
Ohio,Coshocton,Female,80+,2
Ohio,Coshocton,Male,80+,1
Ohio,Crawford,Female,80+,0
Ohio,Crawford,Male,60-69,1
Ohio,Crawford,Male,70-79,2
Ohio,Crawford,Male,80+,2
Ohio,Cuyahoga,Female,20-29,3
Ohio,Cuyahoga,Female,30-39,1
Ohio,Cuyahoga,Female,40-49,2
Ohio,Cuyahoga,Female,50-59,11
Ohio,Cuyahoga,Female,60-69,18
Ohio,Cuyahoga,Female,70-79,53
Ohio,Cuyahoga,Female,80+,116
Ohio,Cuyahoga,Male,0-19,1
Ohio,Cuyahoga,Male,30-39,2
Ohio,Cuyahoga,Male,40-49,2
Ohio,Cuyahoga,Male,50-59,14
Ohio,Cuyahoga,Male,60-69,39
Ohio,Cuyahoga,Male,70-79,62
Ohio,Cuyahoga,Male,80+,69
Ohio,Darke,Female,70-79,2
Ohio,Darke,Female,80+,10
Ohio,Darke,Male,60-69,1
Ohio,Darke,Male,70-79,3
Ohio,Darke,Male,80+,10
Ohio,Defiance,Female,60-69,1
Ohio,Defiance,Male,60-69,1
Ohio,Defiance,Male,80+,1
Ohio,Delaware,Female,60-69,1
Ohio,Delaware,Female,70-79,1
Ohio,Delaware,Female,80+,5
Ohio,Delaware,Male,50-59,1
Ohio,Delaware,Male,60-69,1
Ohio,Delaware,Male,70-79,1
Ohio,Delaware,Male,80+,5
Ohio,Erie,Female,80+,1
Ohio,Erie,Male,50-59,1
Ohio,Erie,Male,60-69,1
Ohio,Erie,Male,70-79,2
Ohio,Erie,Male,80+,17
Ohio,Fairfield,Female,60-69,1
Ohio,Fairfield,Female,70-79,6
Ohio,Fairfield,Female,80+,3
Ohio,Fairfield,Male,40-49,1
Ohio,Fairfield,Male,70-79,1
Ohio,Fairfield,Male,80+,5
Ohio,Franklin,Female,20-29,1
Ohio,Franklin,Female,30-39,4
Ohio,Franklin,Female,40-49,5
Ohio,Franklin,Female,50-59,10
Ohio,Franklin,Female,60-69,15
Ohio,Franklin,Female,70-79,52
