FIPS,State,County,Year,Population,D_HIV,D_HXV,D_DRUG
1001,AL,Autauga County,2001,44889,-999,-999,-999
1001,AL,Autauga County,2002,45909,-999,-999,-999
1001,AL,Autauga County,2003,46800,-999,-999,-999
1001,AL,Autauga County,2004,48366,-999,-999,-999
1001,AL,Autauga County,2005,49676,-999,-999,-999
1001,AL,Autauga County,2006,51328,-999,-999,-999
1001,AL,Autauga County,2007,52405,-999,-999,-999
1001,AL,Autauga County,2008,53277,-999,-999,-999
1001,AL,Autauga County,2009,54135,-999,-999,-999
1001,AL,Autauga County,2010,54571,-999,-999,-999
1001,AL,Autauga County,2011,55267,-999,-999,-999
1001,AL,Autauga County,2012,55514,-999,-999,-999
1001,AL,Autauga County,2013,55246,-999,-999,-999
1001,AL,Autauga County,2014,55395,-999,-999,-999
1001,AL,Autauga County,2015,55347,-999,-999,-999
1001,AL,Autauga County,2016,55416,-999,-999,-999
1001,AL,Autauga County,2017,55504,-999,-999,-999
1001,AL,Autauga County,2018,55601,-999,-999,-999
1003,AL,Baldwin County,2001,144875,-999,-999,13
1003,AL,Baldwin County,2002,147957,-999,-999,17
1003,AL,Baldwin County,2003,151509,-999,-999,12
1003,AL,Baldwin County,2004,156266,-999,-999,21
1003,AL,Baldwin County,2005,162183,-999,-999,23
1003,AL,Baldwin County,2006,168121,-999,-999,22
1003,AL,Baldwin County,2007,172404,-999,-999,29
1003,AL,Baldwin County,2008,175827,-999,-999,27
1003,AL,Baldwin County,2009,179406,-999,-999,32
1003,AL,Baldwin County,2010,182265,-999,-999,26
1003,AL,Baldwin County,2011,186717,-999,-999,24
1003,AL,Baldwin County,2012,190790,-999,-999,34
1003,AL,Baldwin County,2013,195540,-999,-999,23
1003,AL,Baldwin County,2014,200111,-999,-999,40
1003,AL,Baldwin County,2015,203709,-999,-999,43
1003,AL,Baldwin County,2016,208563,-999,-999,34
1003,AL,Baldwin County,2017,212628,-999,-999,28
1003,AL,Baldwin County,2018,218022,-999,-999,29
1005,AL,Barbour County,2001,28863,-999,-999,-999
1005,AL,Barbour County,2002,28653,-999,-999,-999
1005,AL,Barbour County,2003,28594,-999,-999,-999
1005,AL,Barbour County,2004,28287,-999,-999,-999
1005,AL,Barbour County,2005,28027,-999,-999,-999
1005,AL,Barbour County,2006,27861,-999,-999,-999
1005,AL,Barbour County,2007,27757,-999,-999,-999
1005,AL,Barbour County,2008,27808,-999,-999,-999
1005,AL,Barbour County,2009,27657,-999,-999,-999
1005,AL,Barbour County,2010,27457,-999,-999,-999
1005,AL,Barbour County,2011,27119,-999,-999,-999
1005,AL,Barbour County,2012,27201,-999,-999,-999
1005,AL,Barbour County,2013,27076,-999,-999,-999
1005,AL,Barbour County,2014,26887,-999,-999,-999
1005,AL,Barbour County,2015,26489,-999,-999,-999
